Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X,Centroid Y,Distance in um to nearest Cell,Area,Perimeter
CBPM03Lc_Sec05_NPY_merged.tif,fede706f-cc8c-4181-a349-f3c5f84f907d,Annotation,Cell80,Cell,Root object (Image),Polygon,310.23,331.25,9.8801,39.67,24.1
CBPM03Lc_Sec05_NPY_merged.tif,21e495a8-2f7b-4d88-b9e0-acf9cfcea97a,Annotation,Cell11,Cell,Root object (Image),Polygon,344.42,335.23,3.2728,28.99,21.58
CBPM03Lc_Sec05_NPY_merged.tif,b05b7589-4ca8-4645-8636-304421dab24f,Annotation,Cell8,Cell,Root object (Image),Polygon,437.78,337.22,0.9614,26.64,19.49
CBPM03Lc_Sec05_NPY_merged.tif,716db9ba-3b94-4945-89ec-0559a358e68e,Annotation,Cell64,Cell,Root object (Image),Polygon,430.78,338.19,1.0164,28.75,20.12
CBPM03Lc_Sec05_NPY_merged.tif,9440fb98-0edd-4f42-981b-8eb3e0a200d7,Annotation,Cell29,Cell,Root object (Image),Polygon,325.31,341.52,5.5977,66.73,30.3
CBPM03Lc_Sec05_NPY_merged.tif,d408d6fd-c587-43eb-aeb6-a8e8045a252e,Annotation,Cell68,Cell,Root object (Image),Polygon,411.09,342.05,1.636,28.53,19.66
CBPM03Lc_Sec05_NPY_merged.tif,6f874b48-129c-4758-b55f-25e5a949a0ea,Annotation,Cell22,Cell,Root object (Image),Polygon,273.3,344.34,5.6501,57.12,27.66
CBPM03Lc_Sec05_NPY_merged.tif,c16fc87e-cf6f-4284-b156-caa30ea13cf8,Annotation,Cell26,Cell,Root object (Image),Polygon,339.28,343.13,3.3001,27.65,20.27
CBPM03Lc_Sec05_NPY_merged.tif,ea3715be-722e-4d58-bd47-7b47488b27ca,Annotation,Cell56,Cell,Root object (Image),Polygon,366.59,343.61,15.7432,37.96,23.7
CBPM03Lc_Sec05_NPY_merged.tif,2fe8ab04-3e0b-4f7d-afbf-b6f78c1efaad,Annotation,Cell28,Cell,Root object (Image),Polygon,443.51,346.13,5.6065,22.34,17.21
